Cluster,Phase,Day of Date Trap,Cluster.code,ASBs Deployed,Form.Collectionid Check,Form.Sampleid Check,form.DyeFed,form.BloodFed,form.SugarFed,Indoor,Outdoor,Male,Female,An. gambiae,An. funestus
asb163,1,8-Mar-21,163,2,5076420,5157148,0,0,---,0,1,0,1,1,
asb163,1,8-Mar-21,163,2,5076420,5157152,0,0,---,0,1,0,1,1,
asb163,1,8-Mar-21,163,2,5113418,5157865,0,0,---,0,1,0,1,1,
asb163,1,8-Mar-21,163,2,5113431,5158620,0,0,---,0,1,0,1,1,
asb194,1,8-Mar-21,194,3,5097258,5159930,0,0,---,0,1,0,1,1,
asb194,1,8-Mar-21,194,3,5097260,5159866,0,0,---,0,1,0,1,1,
asb194,1,8-Mar-21,194,3,5097277,5159967,0,0,---,0,1,0,1,1,
asb194,1,8-Mar-21,194,3,5104073,5159958,0,0,---,0,1,0,1,1,
asb13,1,9-Mar-21,13,2,5113926,5159778,0,1,---,0,1,0,1,1,
asb33,1,9-Mar-21,33,3,5095599,5160777,0,1,---,0,1,0,1,1,
asb33,1,9-Mar-21,33,3,5095599,5160778,0,0,---,0,1,0,1,1,
asb33,1,9-Mar-21,33,3,5095599,5160781,0,0,---,0,1,0,1,1,
asb33,1,9-Mar-21,33,3,5095599,5160783,0,1,---,0,1,0,1,1,
asb33,1,9-Mar-21,33,3,5095599,5160787,0,1,---,0,1,0,1,1,
asb33,1,9-Mar-21,33,3,5107916,5160850,0,0,---,0,1,0,1,1,
asb33,1,9-Mar-21,33,3,5107916,5160853,0,0,---,0,1,0,1,1,
asb33,1,9-Mar-21,33,3,5107916,5160858,0,0,---,0,1,0,1,1,
asb33,1,9-Mar-21,33,3,5107916,5160860,0,0,---,0,1,0,1,1,
asb45,1,9-Mar-21,45,2,5077483,5133699,0,0,---,0,1,0,1,1,
asb45,1,9-Mar-21,45,2,5077483,5161769,1,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5095015,5161519,0,0,---,0,1,0,1,1,
asb77,1,9-Mar-21,77,2,5097543,5160041,0,0,---,0,1,0,1,1,
