Study Sites,Month,Year,Date,Species,Method,Room#/Poste ,# sleeper,Position,NightFrames,NightFrames_2,mosquito ID,Parity,fed/unfed,ELISA,Species
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,99,NP,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,100,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,101,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,102,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,103,NP,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,104,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,105,NR,Fed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,106,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,107,NR,Fed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,04H-06h,,108,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,04H-06h,,109,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,04H-06h,,110,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,04H-06h,,111,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,04H-06h,,112,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,04H-06h,,113,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,04H-06h,,114,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,04H-06h,,115,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,04H-06h,,116,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,04H-06h,,117,NR,Fed,ND,ND
